DE,FE
-0.276139721,0.306949091
0.062537525,-0.152858182
0.041827046,-0.128203636
-0.212383932,-0.0452
-0.242434431,0.021778182
0.00568523,-0.127381818
0.098679341,0.198674545
-0.01299481,0.128203636
-0.019898303,-0.018490909
0.11208024,0.371872727
0.216850898,-0.49042
0.140506387,0.141558182
-0.00365479,-0.123889091
0.05969491,0.001438182
0.193297804,0.412347273
0.04101487,-0.136216364
0.101115868,0.27572
0.23147006,0.087523636
-0.147815968,0.098412727
-0.362230339,-0.127587273
-0.099491517,-0.061841818
0.138475948,0.066772727
-0.155937725,0.017258182
-0.295225848,0.002876364
0.118983733,0.028352727
0.172181238,0.089167273
-0.051167066,-0.325029091
-0.045075749,0.066567273
0.029644411,-0.153269091
-0.015431337,-0.062252727
0.138882036,0.211823636
0.161216866,0.028969091
-0.051979242,0.484256364
0.098679341,0.046227273
0.242028343,0.129436364
0.010152196,0.223329091
-0.125887226,-0.212234545
-0.047512275,-0.037803636
-0.058070559,0.020956364
-0.118983733,-0.020545455
-0.042233134,0.006574545
0.051979242,0.110329091
0.004060878,0.02712
-0.053603593,0.188401818
0.066598403,-0.166007273
0.030862675,-0.205043636
-0.180709082,0.071909091
0.023147006,-0.225794545
0.024771357,0.10622
-0.141724651,0.058554545
0.0467001,0.136421818
0.125887226,0.094714545
-0.034923553,0.095536364
-0.131166367,0.257845455
-0.041827046,-0.091221818
-0.053603593,0.009450909
-0.153907285,0.02486
-0.0934002,0.100261818
0.015837425,-0.047665455
-0.045075749,0.04746
-0.068222754,0.089989091
0.043857485,-0.074169091
0.037766168,0.119574545
-0.053197505,-0.070265455
0.050760978,-0.010067273
0.140100299,-0.053212727
0.06903493,0.076223636
0.06538014,0.087934545
0.195328244,-0.080332727
0.144161178,-0.053418182
0.036141816,-0.057527273
0.126293313,0.055061818
0.013806986,-0.015409091
-0.123450699,0.117725455
-0.067816667,0.054856364
-0.035735729,0.224561818
-0.182333433,0.045816364
-0.18842475,0.106425455
-0.019898303,0.249010909
-0.009746108,-0.129641818
-0.082435828,0.198674545
-0.014213074,0.042529091
0.140912475,-0.004109091
0.038578343,-0.027325455
-0.054415768,-0.025065455
0.035329641,0.09718
0.123044611,-0.052596364
0.058476647,-0.001232727
0.002842615,0.015614545
0.112486327,0.017463636
0.197358683,-0.11978
0.107613273,0.101494545
-0.010152196,-0.071909091
0.060913174,-0.010272727
0.061725349,0.14012
-0.003248703,-0.091838182
-0.033705289,0.098412727
-0.006091317,-0.022394545
0.019492216,0.040885455
-0.006497405,0.051363636
0.010558283,0.031023636
-0.058882735,0.040885455
-0.071877545,0.181005455
-0.043045309,0.136627273
-0.097867166,0.084030909
-0.02233483,0.207098182
0.09705499,-0.025270909
0.006903493,0.159432727
-0.068222754,-0.001643636
0.040608782,0.061225455
0.051167066,0.089783636
-0.01299481,-0.094714545
-0.06903493,0.061636364
-0.082841916,-0.012943636
0.054821856,-0.018901818
0.035329641,-0.103754545
-0.067410579,0.050952727
0.007715669,-0.021572727
0.045481836,0.041707273
-0.00568523,0.08814
-0.033705289,0.018901818
-0.027207884,0.094303636
-0.050760978,-0.023627273
-0.009746108,0.029585455
0.017461776,-0.171554545
-0.034517465,0.052801818
-0.048730539,0.014998182
-0.080811477,0.005136364
-0.01502525,0.040063636
0.034517465,-0.083825455
-0.032487026,0.151009091
0.032487026,-0.062458182
0.121420259,0.084852727
0.043857485,-0.003492727
0.034111377,0.011916364
0.069847106,0.077867273
-0.060507086,0.001643636
-0.060100998,0.115876364
-0.010558283,-0.022805455
-0.056446208,0.06328
0.052791417,-0.012532727
0.071471457,0.103138182
-0.021116567,0.039652727
0.066192315,0.023627273
0.205074351,0.127998182
0.019086128,0.068621818
-0.339895509,0.168883636
-0.165683832,0.0339
0.168120359,0.06102
-0.11938982,-0.056910909
-0.35654511,-0.005958182
0.067410579,-0.041296364
0.219287425,-0.082387273
-0.203043912,0.059787273
-0.231063972,-0.057938182
-0.013400898,0.083825455
0.101521956,-0.017052727
0.493396707,-0.127587273
0.50760978,-0.033078182
-0.092588024,0.14012
-0.028426148,0.155323636
0.614816966,0.082387273
0.211571756,0.066567273
-0.581923852,-0.000205455
-0.072689721,0.129641818
0.498675848,0.05876
-0.080811477,-0.026709091
-0.50964022,-0.005958182
-0.173399501,0.066772727
-0.05035489,0.042118182
-0.196140419,0.066772727
-0.217663074,0.175458182
-0.387001697,0.227849091
-0.245683134,0.399403636
0.339083333,0.167650909
0.340301597,-0.019312727
-0.182739521,0.05198
0.03167485,0.054650909
0.635933533,0.063690909
0.323245908,0.025270909
-0.171369062,-0.102110909
0.083248004,-0.169910909
0.421519162,-0.1808
0.274109281,-0.301812727
-0.071471457,-0.222096364
-0.154313373,-0.183676364
-0.062943613,-0.102932727
-0.009746108,0.040063636
-0.11938982,0.0452
-0.385783433,0.17402
-0.400808683,0.247572727
-0.092994112,0.208125455
0.028832236,0.134778182
-0.167714271,0.158610909
-0.103552395,0.216138182
0.083248004,0.1356
0.049948802,0.09944
0.061725349,0.149776364
0.055227944,0.0113
0.054821856,-0.100672727
0.113298503,-0.151214545
0.179084731,-0.22826
0.141724651,-0.100467273
0.041420958,-0.033489091
0.107613273,0.007190909
0.103552395,0.026298182
0.011776547,0.064923636
0.03167485,0.033283636
-0.010558283,0.014792727
-0.145379441,0.054034545
-0.125481138,-0.103754545
0.056446208,0.066772727
0.01502525,0.06554
-0.164465569,0.003698182
-0.178272555,0.166007273
-0.067816667,0.0791
-0.020304391,0.081770909
-0.127917665,0.054445455
-0.099085429,0.015409091
-0.027207884,0.024243636
-0.017461776,0.102521818
0.044263573,0.067389091
-0.011370459,0.080743636
-0.059288822,0.129641818
0.096648902,-0.059787273
0.206292615,0.056294545
0.089745409,0.012943636
0.034111377,-0.061636364
0.110861976,0.071909091
0.149846407,-0.016230909
0.13441507,-0.005136364
-0.019492216,0.101494545
-0.091775848,0.065129091
0.021522655,-0.019929091
0.00568523,0.02486
-0.030862675,-0.041090909
-0.025177445,-0.041296364
-0.040608782,0.074990909
-0.002030439,0.069032727
0.084872355,0.1243
0.068222754,0.16272
-0.008527844,0.09718
0.088933234,0.016847273
0.113704591,0.072525455
0.082435828,0.005341818
0.006903493,-0.016847273
-0.065786228,0.072525455
0.024365269,-0.017669091
0.027613972,0.095741818
-0.060100998,0.146694545
-0.143349002,0.062458182
-0.111674152,0.093481818
-0.05969491,0.02712
-0.075938423,-0.008629091
-0.0467001,-0.010889091
0.01502525,-0.045405455
-0.062131437,-0.048076364
-0.082029741,0.023627273
0.088527146,-0.005136364
0.036141816,-0.108890909
-0.077156687,-0.006985455
0.270860579,-0.056705455
0.275327545,0.025270909
-0.289540619,0.124094545
-0.082435828,-0.016847273
0.482432335,0.112589091
0.068222754,0.113
-0.612380439,-0.010067273
0.062537525,0.088961818
0.411366966,0.048076364
-0.285479741,-0.106836364
-0.307002395,0.107863636
0.113298503,0.082387273
0.041827046,0.043556364
-0.738673752,0.104370909
-0.232688323,0.118136364
0.906794112,0.084030909
0.311875449,-0.096358182
-0.750450299,0.050747273
0.13806986,-0.114232727
1.208923453,0.197236364
-0.257865768,-0.070881818
-0.95755509,-0.226
0.359793812,0.297703636
